Possession_by,address_area,area_sqft,construction_status,main_title,price_sqft
Possession by Nov 2022,,420 ,Under Construction,1 BHK Property for Sale in Dahisar Mumbai,"18,377 / sq ft"
Possession by Feb 2022,,672 ,Under Construction,2 BHK Property for Sale in Panvel Mumbai,"21,667 / sq ft"
Possession by Dec 2023,,419 ,Under Construction,1 BHK Property for Sale in Malad East Mumbai,"18,000 / sq ft"
Possession by Dec 2022,,667 ,Under Construction,2 BHK Property for Sale in Kandivali East Mumbai,"22,973 / sq ft"
Possession by Dec 2022,,1091 ,Under Construction,2 BHK Property for Sale in Kalamboli Mumbai,"12,007 / sq ft"
Possession by Nov 2025,,975 ,Under Construction,3 BHK Property for Sale in Mulund West Mumbai,"23,692 / sq ft"
Possession by Nov 2020,,531 ,Under Construction,2 BHK Property for Sale in Thane West Mumbai,"18,079 / sq ft"
Possession by Feb 2022,,575 ,Under Construction,1 BHK Property for Sale in Saphale Mumbai,"2,957 / sq ft"
,,847 ,Under Construction,2 BHK Property for Sale in Malad East Mumbai,"25,619 / sq ft"
Possession by Nov 2024,,577 ,Under Construction,2 BHK Property for Sale in Lower Parel Mumbai,"39,238 / sq ft"
Possession by Sep 2021,,201 ,Under Construction,1 BHK Property for Sale in Vangani Mumbai,"4,987 / sq ft"
Possession by Dec 2021,,320 ,Under Construction,1 BHK Property for Sale in Chembur Mumbai,"21,844 / sq ft"
Possession by Jun 2021,,900 ,Under Construction,3 BHK Property for Sale in Santacruz East Mumbai,"33,000 / sq ft"
Possession by Nov 2020,,340 ,Under Construction,1 BHK Property for Sale in Andheri West Mumbai,"27,205 / sq ft"
Possession by Nov 2023,,1413 ,Under Construction,3 BHK Property for Sale in Dadar West Mumbai,"53,116 / sq ft"
Possession by Feb 2024,,618 ,Under Construction,2 BHK Property for Sale in Thane West Mumbai,"23,948 / sq ft"
,,896 ,Ready to move,2 BHK Property for Sale in Malad West Mumbai,"15,066 / sq ft"
,,687 ,Ready to move,2 BHK Property for Sale in Jogeshwari East Mumbai,"32,751 / sq ft"
Possession by Mar 2022,,570 ,Under Construction,2 BHK Property for Sale in Girgaon Mumbai,"42,456 / sq ft"
Possession by Nov 2021,,1005 ,Under Construction,3 BHK Property for Sale in Wadala Mumbai,"29,751 / sq ft"
,,703 ,Ready to move,2 BHK Property for Sale in Vasind Mumbai,"4,373 / sq ft"
Possession by Nov 2022,,373 ,Under Construction,1 BHK Property for Sale in Kharghar Mumbai,"20,967 / sq ft"
Possession by Nov 2020,,426 ,Under Construction,1 BHK Property for Sale in Kurla Mumbai,"19,859 / sq ft"
Possession by Nov 2020,,752 ,Under Construction,2 BHK Property for Sale in Andheri East Mumbai,"25,000 / sq ft"
Possession by Nov 2022,,540 ,Under Construction,2 BHK Property for Sale in Dombivali Mumbai,"8,063 / sq ft"
Possession by Nov 2027,,445 ,Under Construction,1 BHK Property for Sale in Taloja Mumbai,"9,166 / sq ft"
Possession by Nov 2022,,586 ,Under Construction,2 BHK Property for Sale in Virar Mumbai,"6,997 / sq ft"
Possession by Feb 2021,,410 ,Under Construction,1 BHK Property for Sale in Badlapur East Mumbai,"5,926 / sq ft"
,,635 ,Ready to move,1 BHK Property for Sale in Badlapur East Mumbai,"4,330 / sq ft"
,,444 ,Ready to move,1 BHK Property for Sale in Ambernath West Mumbai,"6,145 / sq ft"
Possession by Nov 2022,,537 ,Under Construction,2 BHK Property for Sale in Neral Mumbai,"5,809 / sq ft"
Possession by Nov 2021,,619 ,Under Construction,2 BHK Property for Sale in Karjat Mumbai,"3,283 / sq ft"
Possession by Nov 2021,,312 ,Under Construction,1 BHK Property for Sale in Ambernath East Mumbai,"6,993 / sq ft"
Possession by Nov 2024,,378 ,Under Construction,1 BHK Property for Sale in Neral Mumbai,"4,122 / sq ft"
Possession by Dec 2027,,450 ,Under Construction,1 BHK Property for Sale in Mira Road East Mumbai,"7,111 / sq ft"
Possession by Dec 2022,,490 ,Under Construction,1 BHK Property for Sale in Kalamboli Mumbai,"11,632 / sq ft"
,,1301 ,Ready to move,4 BHK Property for Sale in Thane West Mumbai,"19,369 / sq ft"
Possession by Mar 2025,,642 ,Under Construction,2 BHK Property for Sale in Bhandup West Mumbai,"22,274 / sq ft"
Possession by Dec 2021,,950 ,Under Construction,2 BHK Property for Sale in Karanjade Mumbai,"7,894 / sq ft"
,,720 ,Ready to move,3 BHK Property for Sale in Ghansoli Mumbai,"30,555 / sq ft"
